Batch	Gene_id	Date anticipated	Latest email sent (MJ)	GW_title	corresponding author	Journal state	status	Pubmed	Gene Wiki Status	Gene Wiki Page	Notes	Acknowledgements	Grant ID	Editor	Correspondance status	Survey	Responding IP	PMCID
4*	1264	9/1/2015	10/23/2015	Cnn1	Dr. Jian-Ping Jin	published	http://www.sciencedirect.com/science/article/pii/S0378111916301238	https://www.ncbi.nlm.nih.gov/pubmed/26970176	Complete	"https://en.wikipedia.org/wiki/Calponin_1,_basic,_smooth_muscle"	Cardiac gene	Template used		Erica		completed		5325697
4*	1265	9/1/2015	10/23/2015	Cnn2	Dr. Jian-Ping Jin	published	http://www.sciencedirect.com/science/article/pii/S0378111916301238	https://www.ncbi.nlm.nih.gov/pubmed/26970176	Complete	https://en.wikipedia.org/wiki/Calponin_2	Cardiac gene	Template used		Erica				5325697
4*	1266	9/1/2015	10/23/2015	Cnn3	Dr. Jian-Ping Jin	published	http://www.sciencedirect.com/science/article/pii/S0378111916301238	https://www.ncbi.nlm.nih.gov/pubmed/26970176	Complete	"https://en.wikipedia.org/wiki/Calponin_3,_acidic"	Cardiac gene	Template used		Erica				5325697
8	4779	12/18/2015	12/8/2015	NFE2L1	Dr. Jefferson Y. Chan	published	http://www.sciencedirect.com/science/article/pii/S0378111916301469	https://www.ncbi.nlm.nih.gov/pubmed/26947393	Complete	http://en.wikipedia.org/wiki/NFE2L1		Template used	yes	Erica		sent		6636332
8*	27043	11/30/2015	11/4/2015	PELP1	Dr. Ratna K Vadlamudi	published	http://www.sciencedirect.com/science/article/pii/S0378111916301627	https://www.ncbi.nlm.nih.gov/pubmed/26997260	Complete	https://en.wikipedia.org/wiki/PELP-1		Template used		Erica		sent		4838531
8	122953	1/16/2016	1/7/2016	Jun dimerization protein 2	Dr. Kazunari K Yokoyama	published	http://www.sciencedirect.com/science/article/pii/S0378111916302384	https://www.ncbi.nlm.nih.gov/pubmed/27041241	Complete	https://en.wikipedia.org/wiki/Jun_dimerization_protein		Template used		Erica		completed	163.15.154.31	6639046
5	1535			CYBA	Dr. Marie-José Stasia	published	http://www.sciencedirect.com/science/article/pii/S0378111916302402	https://www.ncbi.nlm.nih.gov/pubmed/27048830	Complete	"http://en.wikipedia.org/wiki/Cytochrome_b-245,_alpha_polypeptide"	Cardiac Gene	Template used		Erica		completed	176.153.68.203	5637546
8	4097			MAFG	Dr. Fumiki Katsuoka (associate of Dr. Masayuki yamamoto)	published	http://www.sciencedirect.com/science/article/pii/S0378111916302487	https://www.ncbi.nlm.nih.gov/pubmed/27058431	Complete	http://en.wikipedia.org/wiki/MAFG		Template used		Erica		sent		4911266
8*	7975			MAFK	Dr. Fumiki Katsuoka (associate of Dr. Masayuki yamamoto)	published	http://www.sciencedirect.com/science/article/pii/S0378111916302487	https://www.ncbi.nlm.nih.gov/pubmed/27058431	Complete	http://en.wikipedia.org/wiki/MAFK		Template used		Erica				4911266
8*	23764			MAFF	Dr. Fumiki Katsuoka (associate of Dr. Masayuki yamamoto)	published	http://www.sciencedirect.com/science/article/pii/S0378111916302487	https://www.ncbi.nlm.nih.gov/pubmed/27058431	Complete	https://en.wikipedia.org/wiki/MAFF_(gene)		Template used		Erica				4911266
2	3292	6/22/2015	7/2/2015	HSD17B1	Dr. Sheng-Xiang Lin	published	http://www.sciencedirect.com/science/article/pii/S0378111916303018	http://www.ncbi.nlm.nih.gov/pubmed/27102893	"Completed, but reverted needs manually addition"	http://en.wikipedia.org/wiki/HSD17B1		Template used		Andrew		sent		6649686
7	64102			TNMD	Dr. Denitsa Docheva	published	http://www.sciencedirect.com/science/article/pii/S0378111916303213	http://www.ncbi.nlm.nih.gov/pubmed/27129941	Complete	http://en.wikipedia.org/wiki/TNMD 	NGLY1 series	"Template used, no link"		Erica		sent		4897592
8	79960	2/1/2016		PHF17	Dr. Maria Panchenko	published	http://www.sciencedirect.com/science/article/pii/S0378111916303596	http://www.ncbi.nlm.nih.gov/pubmed/27155521	Complete	http://en.wikipedia.org/wiki/PHF17		Template used		Israel				4903948
8	7003			TEAD1	Dr. Flagiello	published	http://www.sciencedirect.com/science/article/pii/S0378111916305546	http://www.ncbi.nlm.nih.gov/pubmed/27421669	Complete	http://en.wikipedia.org/wiki/TEAD1		Template used		Israel				7034536
8*	8463			TEAD2	Dr. Flagiello	published	http://www.sciencedirect.com/science/article/pii/S0378111916305546	http://www.ncbi.nlm.nih.gov/pubmed/27421669	Complete	http://en.wikipedia.org/wiki/TEAD2		Template used		Israel				7034536
5*	5581	1/1/2016	1/4/2016	PRKCE	Dr. Sarah Scruggs	published	http://www.sciencedirect.com/science/article/pii/S0378111916304802	http://www.ncbi.nlm.nih.gov/pubmed/27312950	Complete	http://en.wikipedia.org/wiki/PRKCE	Cardiac Gene	Template used		Erica				5366072
5*	23704			KCNE4	Dr. Geoffrey W. Abbott	published	http://www.sciencedirect.com/science/article/pii/S0378111916306151	https://www.ncbi.nlm.nih.gov/pubmed/27484720	Complete	https://en.wikipedia.org/wiki/KCNE4	Cardiac Gene	Template used		Erica				5166581
5*	23630			KCNE5	Dr. Geoffrey W. Abbott	published	http://www.sciencedirect.com/science/article/pii/S0378111916306151	https://www.ncbi.nlm.nih.gov/pubmed/27484720	Complete	https://en.wikipedia.org/wiki/KCNE5	Cardiac Gene	Template used		Erica				5166581
8*	5424			POLD1	Dr. Sanjeevani Arora 	published	http://www.sciencedirect.com/science/article/pii/S0378111916304942	http://www.ncbi.nlm.nih.gov/pubmed/27320729	Complete	https://en.wikipedia.org/wiki/POLD1	--	Template used	yes	Israel				4969162
5	116519	7/31/2015	7/26/2015	APOA5	Dr. Jaroslav Alois Hubacek	published	http://www.sciencedirect.com/science/article/pii/S0378111916306163	https://www.ncbi.nlm.nih.gov/pubmed/27496343	Complete	https://en.wikipedia.org/wiki/APOA5	"Cardiac Gene, submitted improperly"	"Template used, no link"		Andrew				7108956
2	3605	6/8/2015		IL17A	Dr. Jay Kolls	published	http://www.sciencedirect.com/science/article/pii/S0378111917300409	https://www.ncbi.nlm.nih.gov/pubmed/28122268	Complete	http://en.wikipedia.org/wiki/IL17A		Template used		Andrew				5394985
7	5887	10/10/2015	10/20/2015	RAD23B	Dr. Fumio Hanaoka	"Accepted due to handling errors, withrawn"	http://www.sciencedirect.com/science/article/pii/S0378111916308332	https://www.ncbi.nlm.nih.gov/pubmed/27771451	Not yet updated	http://en.wikipedia.org/wiki/RAD23B	NGLY1 series	Template used		Erica				NIHMS: 964889
7	5886	10/10/2015	10/20/2015	RAD23A	Dr. Fumio Hanaoka	"Accepted due to handling errors, withrawn"	http://www.sciencedirect.com/science/article/pii/S0378111916308332	https://www.ncbi.nlm.nih.gov/pubmed/27771451	Not yet updated	http://en.wikipedia.org/wiki/RAD23A	NGLY1 series	Template used		Erica				NIHMS: 964889
5	2200	2/1/2016	2/1/2016	FBN1	Dr. Lynn Y Sakai	published	http://www.sciencedirect.com/science/article/pii/S0378111916305595	https://www.ncbi.nlm.nih.gov/pubmed/27437668	Complete	http://en.wikipedia.org/wiki/FBN1	Cardiac Gene	"Template used, no link"		Israel				6639799
8*	5058			PAK1	Dr. Rakesh Kumar	published	http://www.sciencedirect.com/science/article/pii/S0378111916309817	https://www.ncbi.nlm.nih.gov/pubmed/28007610	Complete	https://en.wikipedia.org/wiki/PAK1		Template used		Andrew				5250584
8*	5062			PAK2	Dr. Rakesh Kumar	published	http://www.sciencedirect.com/science/article/pii/S0378111916309817	https://www.ncbi.nlm.nih.gov/pubmed/28007610	Complete	https://en.wikipedia.org/wiki/PAK2		Template used		Andrew				5250584
8*	5063			PAK3	Dr. Rakesh Kumar	published	http://www.sciencedirect.com/science/article/pii/S0378111916309817	https://www.ncbi.nlm.nih.gov/pubmed/28007610	Complete	https://en.wikipedia.org/wiki/PAK3		Template used		Andrew				5250584
8*	10298			PAK4	Dr. Rakesh Kumar	published	http://www.sciencedirect.com/science/article/pii/S0378111916309817	https://www.ncbi.nlm.nih.gov/pubmed/28007610	Complete	https://en.wikipedia.org/wiki/PAK4		Template used		Andrew				5250584
8*	56924			PAK6	Dr. Rakesh Kumar	published	http://www.sciencedirect.com/science/article/pii/S0378111916309817	https://www.ncbi.nlm.nih.gov/pubmed/28007610	Complete	https://en.wikipedia.org/wiki/PAK6		Template used		Andrew				5250584
8*	57144			PAK7	Dr. Rakesh Kumar	published	http://www.sciencedirect.com/science/article/pii/S0378111916309817	https://www.ncbi.nlm.nih.gov/pubmed/28007610	Complete	https://en.wikipedia.org/wiki/PAK7		Template used		Andrew				5250584
9	9314			KLF4	Dr. Vincent W. Yang	published	http://www.sciencedirect.com/science/article/pii/S0378111917301142	https://www.ncbi.nlm.nih.gov/pubmed/28237823	Complete	https://en.wikipedia.org/wiki/KLF4		Template used		Andrew				5391259
7	771			CA12	Dr. Abdul Waheed	published	http://www.sciencedirect.com/science/article/pii/S0378111917302780	https://www.ncbi.nlm.nih.gov/pubmed/28433659	Done (but short)	https://en.wikipedia.org/wiki/CA12	NGLY1 Series	Template used		Israel				5851007
9	5156			PDGFRA	Dr. Andrius Kazlauskas	published	http://www.sciencedirect.com/science/article/pii/S0378111917301385	https://www.ncbi.nlm.nih.gov/pubmed/28267575	Complete	https://en.wikipedia.org/wiki/PDGFRA		Template used		Erica				6728141
9	5159			PDGFRB	Dr. Andrius Kazlauskas	published	http://www.sciencedirect.com/science/article/pii/S0378111917301385	https://www.ncbi.nlm.nih.gov/pubmed/28267575	Complete	https://en.wikipedia.org/wiki/PDGFRB		Template used		Erica				6728141
	3309			HSPA5	Dr. Peipei Ping	published	http://www.sciencedirect.com/science/article/pii/S0378111917301403	https://www.ncbi.nlm.nih.gov/pubmed/28286085	Complete	https://en.wikipedia.org/wiki/Binding_immunoglobulin_protein	Cardiac Gene	Template used		Israel				5632570
9	8085			KMT2D	Dr. Kai Ge	published	http://www.sciencedirect.com/science/article/pii/S0378111917305061	https://www.ncbi.nlm.nih.gov/pubmed/28669924	Complete	https://en.wikipedia.org/wiki/MLL2		Template used		Erica				5546304
9	4627			MYH9	Dr. Alessandro Pecci	published	https://www.sciencedirect.com/science/article/pii/S0378111918304165?via%3Dihub	https://www.ncbi.nlm.nih.gov/pubmed/29679756	Complete	https://en.wikipedia.org/wiki/MYH9		Template used		Erica				5970098
9	201163	3/31/2017	6/23/2017	FLCN	Dr. W. Marston Linehan / Dr. Laura Schmidt	published	https://www.sciencedirect.com/science/article/pii/S037811191730776X?via%3Dihub	https://www.ncbi.nlm.nih.gov/pubmed/28970150	Complete	https://en.wikipedia.org/wiki/Folliculin		Template used		Erica				5682220
10	5813			PURA	Dr. Edward M. Johnson	published	https://www.sciencedirect.com/science/article/pii/S037811191731048X?via%3Dihub	https://www.ncbi.nlm.nih.gov/pubmed/29221753	Complete	https://en.wikipedia.org/wiki/PURA	Rare disease Genes	Template used		Israel				5770235
9	5077			PAX3	Dr. Frederic G. Barr	published	https://www.sciencedirect.com/science/article/pii/S0378111918304694?via%3Dihub#s0105	https://www.ncbi.nlm.nih.gov/pubmed/29730428	"Complete, but references need fixing"	https://en.wikipedia.org/wiki/PAX3		Template used		Erica				6624083
9	4602			MYB	Dr. Swee Lay Thein	"accepted due to handling errors, in press"	https://www.sciencedirect.com/science/article/pii/S0378111918304396?via%3Dihub#s0060	https://www.ncbi.nlm.nih.gov/pubmed/29704633	Not yet updated			Template not used		Israel				
10	6499			SKIV2L	Dr. Cathryn Poulton	published	https://www.sciencedirect.com/science/article/pii/S0378111919301933?via%3Dihub	https://www.ncbi.nlm.nih.gov/pubmed/30844479	Complete	https://en.wikipedia.org/wiki/SKIV2L	Rare disease genes	Template used		Erica				7872052
10	1281		5/1/2019	COL3A1	Dr. Helena Kuivaniemi	published	https://www.sciencedirect.com/science/article/pii/S0378111919304652?via%3Dihub	https://www.ncbi.nlm.nih.gov/pubmed/31075413	Complete	"https://en.wikipedia.org/wiki/Collagen,_type_III,_alpha_1"	Rare disease genes	Template used		Erica				6579750
10	1453	4/30/2019	5/1/2019	CSNK1D	Dr. Uwe Knippschild	published	https://www.sciencedirect.com/science/article/pii/S037811191930664X?via%3Dihub	https://www.ncbi.nlm.nih.gov/pubmed/31376410	Complete	https://en.wikipedia.org/wiki/CSNK1D	Rare disease genes	Template used		Erica				7939460
10	6926			TBX3	Dr. Sharon Prince	published	https://www.sciencedirect.com/science/article/pii/S0378111919308820?via%3Dihub	https://www.ncbi.nlm.nih.gov/pubmed/31669645	Complete	https://en.wikipedia.org/wiki/TBX3	Rare disease genes	Template used		Israel				7108957
9	6901	4/30/2019	5/1/2019	TAZ	Anders Garlid	published	https://www.sciencedirect.com/science/article/pii/S0378111919308078?via%3Dihub	https://www.ncbi.nlm.nih.gov/pubmed/31647997	Complete	https://en.wikipedia.org/wiki/Tafazzin	Cardiac Gene	Template used		Israel				7646589
9	3441			IFNL4	Dr. Thomas R. O'Brien	published	https://www.sciencedirect.com/science/article/pii/S0378111919309485?via%3Dihub	https://www.ncbi.nlm.nih.gov/pubmed/31846709	Complete	https://en.wikipedia.org/wiki/IFNL4	Rare disease genes	"Template used, no link"		Erica				NIHMS: 1548832
10	3694			ITGB6	Dr. John F Marshall	published	https://www.sciencedirect.com/science/article/pii/S2590158319300208		Complete	https://en.wikipedia.org/wiki/Integrin_beta_6	Rare disease genes			Other				
9	439921	8/1/2019	7/31/2019	MXRA7	Dr. Yiqiang Wang	Rejected	Submitted elsewhere		Not yet updated	https://en.wikipedia.org/wiki/MXRA7		Template used		Israel				
10	4281	MID1		MID1	Dr. Germana Meroni	published	https://www.sciencedirect.com/science/article/abs/pii/S0378111920303243?via%3Dihub	https://pubmed.ncbi.nlm.nih.gov/32283114/	Complete	https://en.wikipedia.org/wiki/MID1	Rare disease genes	Template used		Israel				8011326
10	8243			SMC1A	Dr. Antonio Musio	published	https://www.sciencedirect.com/science/article/abs/pii/S037811192030281X?via%3Dihub	https://pubmed.ncbi.nlm.nih.gov/32222533/	Complete	https://en.wikipedia.org/wiki/SMC1A	Rare disease genes	Template used		Erica				8011328
10	1184			CLCN5	Dr. Franca Anglani	published	https://www.sciencedirect.com/science/article/abs/pii/S0378111920303310?via%3Dihub	https://pubmed.ncbi.nlm.nih.gov/32289351/	Complete	https://en.wikipedia.org/wiki/CLCN5	Rare disease genes	Template used		Erica				7402612
11	347			APOD	Dr. Eric Rassart	published	https://www.sciencedirect.com/science/article/abs/pii/S0378111920305436?via%3Dihub	https://pubmed.ncbi.nlm.nih.gov/32554047/	Complete	https://en.wikipedia.org/wiki/Apolipoprotein_D	Alzheimer disease genes	Template used		Erica				8011330
10	5885			RAD21	Dr. Debananda Pati	published	https://www.sciencedirect.com/science/article/abs/pii/S0378111920306351?via%3Dihub	https://pubmed.ncbi.nlm.nih.gov/32687945/	Complete	https://en.wikipedia.org/wiki/RAD21	Rare disease genes	Template used		Erica				7949736
10	56246			MRAP	Dr. Caroline Smith	published	https://www.sciencedirect.com/science/article/abs/pii/S0378111920306181?via%3Dihub	https://pubmed.ncbi.nlm.nih.gov/32679290/	Complete	https://en.wikipedia.org/wiki/Melanocortin_2_receptor_accessory_protein	Rare disease genes	Template used		Andrew				8459444
10	112609			MRAP2	Dr. Caroline Smith	published	https://www.sciencedirect.com/science/article/abs/pii/S0378111920306181?via%3Dihub	https://pubmed.ncbi.nlm.nih.gov/32679290/	Complete	https://en.wikipedia.org/wiki/MRAP2	Rare disease genes	Template used		Andrew				8459444
11	8997			KALRN	Dr. Peter Penzes	published	https://www.sciencedirect.com/science/article/abs/pii/S0378111920309756?via%3Dihub	https://pubmed.ncbi.nlm.nih.gov/33189799/	Complete	https://en.wikipedia.org/wiki/Kalirin	Alzheimer disease genes			Stephen				7803032
10	5311			PKD2	Dr. Horacio F. Cantiello 	Rejected			Not yet updated	https://en.wikipedia.org/wiki/Polycystin_2	Rare disease genes			Israel				
11	2108			ETFA	Dr. Peter Bross	published	https://www.sciencedirect.com/science/article/abs/pii/S0378111921000019?via%3Dihub	https://pubmed.ncbi.nlm.nih.gov/33450351/	Complete	https://en.wikipedia.org/wiki/ETFA	Alzheimer disease genes	Template used		Israel				7949704
11	2109			ETFB	Dr. Peter Bross	published	https://www.sciencedirect.com/science/article/abs/pii/S0378111921000019?via%3Dihub	https://pubmed.ncbi.nlm.nih.gov/33450351/	Complete	https://en.wikipedia.org/wiki/ETFB	Alzheimer disease genes	Template used		Israel				7949704
11	10347			ABCA7	Dr. Sumiko Abe-Dohmae	published	https://www.sciencedirect.com/science/article/abs/pii/S0378111920309859?via%3Dihub	https://pubmed.ncbi.nlm.nih.gov/33221536/	Complete	https://en.wikipedia.org/wiki/ABCA7	Alzheimer disease genes			Stephen				7959064
10	8241			RBM10	Dr. Akira Inoue	published	https://www.sciencedirect.com/science/article/pii/S0378111921000573?via%3Dihub	https://pubmed.ncbi.nlm.nih.gov/33515724/	Complete	https://en.wikipedia.org/wiki/RBM10	Rare disease genes			Erica				
10	221074			SLC39A12	Dr. Winyoo Chowanadisai	published	https://www.sciencedirect.com/science/article/pii/S0378111921004194?via%3Dihub	https://pubmed.ncbi.nlm.nih.gov/34252531/	Complete	https://en.wikipedia.org/wiki/Zinc_transporter_ZIP12	Rare disease genes	Template used		Stephen				8318780
11	2561			GABRB2	Dr. Hong Xue	accepted	https://www.sciencedirect.com/science/article/abs/pii/S0378111921006168?via%3Dihub	https://pubmed.ncbi.nlm.nih.gov/34673206/	Complete	https://en.wikipedia.org/wiki/GABRB2	Alzheimer disease genes	"Template used, missing link"		Stephen				
10	23287			AGTPBP1	Dr. Robert Lalonde	published	https://www.sciencedirect.com/science/article/abs/pii/S0378111921005965	https://pubmed.ncbi.nlm.nih.gov/34637898/	Complete	https://en.wikipedia.org/wiki/AGTPBP1_(gene)	Rare disease genes			Erica				
10	5311			PKD2	Dr. Horacio F. Cantiello 	Revise--Major Revision			Not yet updated	https://en.wikipedia.org/wiki/Polycystin_2	Rare disease genes			Stephen				
10	31207	Probable E3 ubiquitin-protein ligase HERC1	HERC1	HERC1	Dr. Robert Lalonde	Revise--Major Revision			Not yet updated		Rare disease genes			Erica				
10	65266			WNK4	Dr. Ji‐Bin Peng	Revise--Minor Revision			Complete	https://en.wikipedia.org/wiki/WNK4	Rare disease genes	Template used		Erica				
10	55503			TRPV6	Dr. Ji‐Bin Peng	Revise--Minor Revision			Complete	https://en.wikipedia.org/wiki/TRPV6	Rare disease genes	Template used		Erica				
