	title	page_length	last_touched	lastrevid
0	Pulmonary surfactant-associated protein A1	52	2021-09-20T23:54:16Z	798876038
1	SFTPA2	52	2021-09-20T23:54:57Z	798877294
2	MiR-155	86517	2021-11-16T11:12:47Z	1043454804
3	Epoxide hydrolase 2	26435	2021-11-14T22:52:27Z	1041057438
4	LIG3	30861	2021-11-14T22:52:28Z	1042913008
5	Kinesin family member 11	56692	2021-11-13T07:18:25Z	1043997675
6	NEDD4L	26812	2021-11-13T06:20:33Z	1043627709
7	NEDD4	27523	2021-11-13T06:20:30Z	1043627474
8	BCAR1	22677	2021-11-13T06:20:55Z	1032257196
9	TUBB3	51	2021-08-25T04:49:05Z	811006093
10	NEDD9	64665	2021-11-13T06:21:54Z	1043628428
11	CSRP3	33889	2021-11-13T06:22:16Z	1040155235
12	PON1	16633	2021-11-13T06:20:24Z	1048405749
13	N-alpha-acetyltransferase 10	43692	2021-11-13T06:21:57Z	1053348825
14	NAA15	24726	2021-11-13T06:22:04Z	1047556389
15	IFNA2	20093	2021-11-14T22:19:35Z	1042038305
16	ERCC4	28462	2021-11-13T06:21:55Z	1040946095
17	ERCC1	45959	2021-11-13T06:20:32Z	1040946032
18	MYL2	31998	2021-11-13T06:21:57Z	1043246848
19	Atrial natriuretic peptide	28597	2021-11-13T05:46:05Z	1054920007
20	IGFBP3	38440	2021-11-13T06:20:23Z	1042040247
21	KCNE2	27928	2021-11-13T06:11:58Z	1048405572
22	CASS4	29272	2021-11-15T07:27:16Z	1055332927
23	Embryonal fyn-associated substrate	42293	2021-11-13T07:47:12Z	1041016185
24	RAPGEF3	30029	2021-11-13T06:20:34Z	1044544695
25	FHL2	40120	2021-11-13T06:20:32Z	1048405673
26	Troponin C type 1	36084	2021-11-13T06:21:54Z	1045875823
27	EPHX1	25732	2021-11-13T06:24:52Z	1040944627
28	ALOX15	44770	2021-11-14T22:51:55Z	1054255858
29	CUL4A	36664	2021-11-13T06:20:34Z	1048407431
30	CUL4B	23532	2021-11-13T06:21:57Z	1040158963
31	HSP90AB1	25795	2021-11-13T06:20:33Z	1053698390
32	Nav1.5	25228	2021-11-13T06:03:11Z	1032155116
33	Myosin binding protein C, cardiac	68361	2021-11-13T06:21:49Z	1053699176
34	RAPGEF4	22172	2021-11-13T06:22:01Z	1044544879
35	MAPK14	44288	2021-11-14T22:51:54Z	1051076518
36	KCNE1	30494	2021-11-13T06:03:12Z	1042808094
37	KCNE3	23767	2021-11-13T06:22:01Z	1042808593
38	Endothelial NOS	33340	2021-11-14T22:51:54Z	1049852294
39	Interferon alpha 1	48	2021-10-05T20:11:07Z	706536882
40	HFE (gene)	20063	2021-11-13T05:55:56Z	1054209550
41	TNNI1	15382	2021-11-13T06:21:55Z	1032036754
42	TNNI2	20647	2021-11-13T06:21:56Z	1045663166
43	TNNI3	25926	2021-11-13T06:20:28Z	1053701011
44	JAG1	21969	2021-11-16T00:18:44Z	1048409152
45	NGLY1	24019	2021-11-13T06:22:45Z	1043633310
46	PRKACA	13772	2021-11-14T22:51:54Z	1048409838
47	SCNN1A	26273	2021-11-13T06:21:54Z	1044796907
48	SCNN1B	24594	2021-11-13T06:21:49Z	1044797179
49	SCNN1G	27767	2021-11-13T06:21:54Z	1044797315
50	SCNN1D	12153	2021-11-13T06:22:45Z	1011216686
51	TNNT1	17077	2021-11-13T06:21:57Z	1045993604
52	TNNT2	46397	2021-11-13T06:20:29Z	1045664073
53	TNNT3	16233	2021-11-13T06:22:05Z	1053701033
54	MTA3	14255	2021-11-13T06:22:16Z	1050289441
55	MTA2	17033	2021-11-13T06:21:57Z	1050289426
56	MTA1	32261	2021-11-13T06:20:34Z	1050289408
57	SALL4	36923	2021-11-13T06:22:01Z	1044791974
58	Serum amyloid A1	32753	2021-11-13T06:20:51Z	1053700748
59	Valosin-containing protein	49653	2021-11-13T06:21:45Z	1052142746
60	Calponin 1, basic, smooth muscle	40	2021-08-04T17:27:43Z	704981845
61	Calponin 2	19988	2021-11-13T07:52:48Z	1040348114
62	Calponin 3, acidic	10503	2021-11-13T07:52:48Z	1040348174
63	NFE2L1	29445	2021-11-13T06:22:01Z	1043631163
64	PELP-1	33116	2021-11-13T05:59:07Z	1043924463
65	Jun dimerization protein	36361	2021-11-13T06:11:21Z	1048410393
66	Cytochrome b-245, alpha polypeptide	37082	2021-11-13T06:21:04Z	1048411809
67	MAFG	22304	2021-11-13T06:22:01Z	1043203060
68	MAFK	21524	2021-11-13T06:22:18Z	1043203186
69	MAFF (gene)	15879	2021-11-13T06:22:41Z	1032247073
70	HSD17B1	12745	2021-11-13T06:20:34Z	1053698339
71	TNMD	41	2021-09-22T01:40:49Z	706267105
72	PHF17	35	2021-09-06T13:57:02Z	716609982
73	TEAD1	33207	2021-11-13T06:21:57Z	1048412053
74	TEAD2	16271	2021-11-13T06:19:38Z	1048412110
75	PRKCE	54255	2021-11-14T22:51:55Z	1048410454
76	KCNE4	15620	2021-11-13T06:22:46Z	1039580278
77	KCNE5	14071	2021-11-13T06:38:44Z	1032334332
78	POLD1	75633	2021-11-13T06:21:56Z	1043943949
79	APOA5	39657	2021-11-13T06:20:29Z	1048408305
80	IL17A	50662	2021-11-13T06:24:32Z	1042044045
81	RAD23B	15113	2021-11-13T06:20:35Z	1053272639
82	RAD23A	10993	2021-11-13T06:20:34Z	1032271617
83	FBN1	42	2021-10-23T21:26:20Z	753178484
84	PAK1	43642	2021-11-13T06:20:14Z	1050289527
85	PAK2	17792	2021-11-13T06:20:29Z	997202488
86	PAK3	7740	2021-11-13T06:21:55Z	1052087910
87	PAK4	24367	2021-11-13T06:21:56Z	1050289549
88	PAK6	12724	2021-11-13T06:23:10Z	1043908620
89	PAK7	35	2021-09-12T16:30:23Z	750954721
90	KLF4	55935	2021-11-13T06:20:34Z	1048413241
91	CA12	82	2021-08-24T07:13:45Z	933428874
92	PDGFRA	31861	2021-11-14T22:52:01Z	1043921534
93	PDGFRB	31995	2021-11-14T22:51:55Z	1048413420
94	Binding immunoglobulin protein	31856	2021-11-13T15:44:57Z	1055053294
95	MLL2	36	2021-10-07T15:36:42Z	780545165
96	MYH9	59597	2021-11-13T06:21:04Z	1048412949
97	Folliculin	46701	2021-11-13T06:12:22Z	1048413326
98	PURA	34370	2021-11-13T06:20:33Z	1048413009
99	PAX3	35292	2021-11-18T06:17:57Z	1043911985
100	SKIV2L	26296	2021-11-13T06:22:04Z	1054545466
101	Collagen, type III, alpha 1	28809	2021-11-17T14:48:01Z	1055740227
102	CSNK1D	120341	2021-11-13T06:19:11Z	1048389423
103	TBX3	39272	2021-11-13T06:21:58Z	1048389063
104	Tafazzin	58528	2021-11-16T10:40:48Z	1048388785
105	IFNL4	80	2021-10-05T21:29:59Z	931430085
106	Integrin beta 6	35159	2021-11-13T06:21:54Z	1042670493
107	MID1	18947	2021-11-13T06:21:55Z	1048375061
108	SMC1A	21068	2021-11-13T06:13:52Z	1048376526
109	CLCN5	44004	2021-11-13T06:20:34Z	1053618525
110	Apolipoprotein D	44928	2021-11-13T06:09:02Z	1048377575
111	RAD21	58714	2021-11-13T21:00:46Z	1048377997
112	Melanocortin 2 receptor accessory protein	16486	2021-11-13T08:28:29Z	1049483065
113	MRAP2	18800	2021-11-13T07:35:21Z	1048378490
114	Kalirin	30651	2021-11-14T22:51:58Z	1050860001
115	ETFA	19436	2021-11-13T06:22:16Z	1048382493
116	ETFB	20543	2021-11-13T06:22:16Z	1048382441
117	ABCA7	27288	2021-11-13T06:22:16Z	1048382775
118	RBM10	53946	2021-11-13T06:22:01Z	1052022646
119	Zinc transporter ZIP12	24861	2021-11-13T08:03:32Z	1053619212
120	GABRB2	57833	2021-11-13T06:21:55Z	1039563715
121	AGTPBP1 (gene)	21681	2021-11-13T08:10:22Z	1039382813
122	WNK4	29865	2021-11-14T22:51:59Z	1046069381
123	TRPV6	96175	2021-11-13T05:56:39Z	1040697368
